English,Bangla,Marma
I am saving money.,আমি টাকা সঞ্চয় করছি,ঙা তেংগা খেংরে
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা ঙো দ দ গো য়ুব আ্মা প্যরে
I am taller than you.,আমি আপনার চাইতে লম্বা,ঙা কোস্থা হ্রিরে
I am trying to sleep.,আমি ঘুমানোর চেষ্টা করছি,ঙা ওইম্কেংরে
We cook every day,আমরা প্রতিদিন রান্না করি,ঙো খ্যাক্ তে
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ল? নিং হো ইংমা
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা নাগকো টখও ন্হেং মিং হো ল?
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,কিজু আ্কুংজুং কিজুতাংরে
This is my daughter,এই আমার মেয়ে,ঙা স্মিং
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ম্ক্যুং ইচা ঙা ন্হেং
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ত্খোঃ আ্কং আ্ত্যগ্
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ঙা লেহো ম্নংই
You're so smart,আপনি খুব স্মার্ট,কো পইংঞাস্যাং আ্মা
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,নাগ আডে নারেলে
His brother is patient.,তার ভাই ধৈর্যশীল,য়াসু আকোসি আ্মা ন্হেং রে
See you next year,সামনের বছর দেখা হবে,লেমে মা ন্হক্ আ্তুই ক্যামে
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ম্নংই লেহো ঙা
He goes to school.,সে স্কুলে যায়,য়াসু লারে
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,ঙা নাঃকো নুইং হোলঃ?
I can swim.,আমি সাঁতার কাটতে পারি,ঙা খেহো তেতি
Please give it to me.,দয়া করে আমাকে দিন,পি ত্খ্যাঃ ঙাগো য়াচা
When do you study?,আপনি কখন পড়াশোনা করেন?,কো লে চা ফেটে জ্খা
His wife is one of my friends.,তার স্ত্রী আমার বন্ধুদের একজন,য়াসু ম্যা আফা্কসা
They got married,তারা বিয়ে করেছে,য়াস্রো ম্জেকেব্যা
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ইচা ম্ক্যুং ন্হেং
He agreed with me,তিনি আমার সাথে একমত,ঙালা য়াসু চ্গা তখৈংব্যা
I can't come.,আমি আসতে পারব না,ঙা ম্লেন্হেং/ ঙা লেহো ম্নংই
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,চ্গা ম্প্র সি য়াং?
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,ক্রারেয় ঙা চাগা নাং ল?
Are you going?,তুমি কি যাচ্ছ?,নাং লারেয় ল
You are so brave,আপনি খুব সাহসী,নাং ত্ফি ব্যাং
They're good people,তারা ভালো মানুষ,আঁকং আ্মা য়াস্রু লু
I am fine.,আমি ভালো আছি,ঙা হিরি আকং
Have a nice day.,আপনার দিনটি শুভ হোক,কো রা্ক আকং
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ
Let me check.,যাচাই করতে দাও,ক্রিহো পি
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,আয়াং থা আকং ফ্রপ কেন্থা
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা আটুই খেং নহেং হোলে?
I am counting on you.,আমি তোমার উপর নির্ভর করছি,সিরিব্যা না্গকোরা ঙা
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু ঙন্যে আসেং হিলিরে
Have a nice day!,একটি ভালো দিন কাটুক!,ত্রা্ক আহ্লাপা বে নিং চি
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং জ্যখা গং
Are you feeling better?,আপনি ভাল অনুভব করছেন?,ল? মা কং রে তুইরে কো
Why didn't you come in?,তুমি ভিতরে আসো না কেন?,নাং ম্ওয়ংলে? আস্যা আথিদো
We cook every day,আমরা প্রতিদিন রান্না করি,ঙো নিংদৈং তে
Are you crazy?,তুমি কি পাগল?,নাং আরোউ
I am a vegetarian.,আমি একজন নিরামিষভোজী,ঙা মাচা হাংম্রু
Do you understand?,তুমি কি বুঝতে পেরেছো?,নাং? ল নালেরি
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,নাং কোমাকো লোচা য়াং
